,precision,recall,f1-score,support
Claude-4_Opus,1.0,1.0,1.0,19.0
GPT-5_Preview,1.0,1.0,1.0,22.0
Gemini-2_Pro,1.0,1.0,1.0,24.0
NousResearch/Llama-2-7b-chat-hf,1.0,1.0,1.0,59.0
cohere-command,1.0,0.96875,0.9841269841269841,32.0
darragh_claude_v6,1.0,1.0,1.0,81.0
llama2_chat,1.0,1.0,1.0,351.0
mistralai/Mistral-7B-Instruct-v0.1,1.0,1.0,1.0,31.0
palm-text-bison1,0.975,1.0,0.9873417721518988,39.0
accuracy,0.9984802431610942,0.9984802431610942,0.9984802431610942,0.9984802431610942
macro avg,0.9972222222222222,0.9965277777777778,0.9968298618087648,658.0
weighted avg,0.9985182370820669,0.9984802431610942,0.998477800313051,658.0
